lambda,theta
0.51731518,0.32053726
0.40941585,0.65822326
0.61641009,0.29744319
0.68185605,0.3593764
0.37186686,0.35730176
0.76234502,0.46398366
0.42646788,0.37646747
0.43247663,0.57279199
0.5842903,0.49307318
0.62044998,0.53222843
0.44970296,0.65365558
0.50253937,0.49666772
0.45710541,0.51084323
0.82840497,0.39336872
0.33228639,0.69460851
0.67824135,0.7088787
0.28365596,0.66766834
1.0115983,0.59107426
0.65285728,0.33448025
0.51988705,0.49395875
0.33511832,0.50347439
0.72954375,0.57554468
0.2187922,0.82501505
0.42979841,0.32698685
0.77743743,0.5416051
0.46167981,0.56842433
0.4253577,0.85895803
0.75895576,0.615218
0.77192923,0.60224247
0.25410927,0.65481436
0.32144789,0.59440526
0.58936091,0.70938444
0.3163303,0.42602158
0.65525696,0.79411267
0.31920104,0.6249447
0.55907505,0.51102636
0.45951977,0.37550953
0.60044525,0.32786061
0.43831013,0.56894413
0.66220873,0.45301996
0.40731126,0.63999531
0.35507438,0.5463453
0.57811845,0.58494161
0.65095048,0.59831241
0.45377493,0.38673124
0.4200641,0.82529828
0.47469456,0.56055949
0.41822879,0.69689926
0.45213871,0.67047966
0.63665863,0.51224767
0.59156012,0.41483053
0.44801797,0.83099731
0.37853718,0.49365114
0.57200566,0.45209792
0.62247516,0.60005969
0.34864028,0.50111278
0.48387882,0.62486607
0.4695223,0.66749031
0.68124535,0.7605161
0.80203484,0.63896905
0.37650703,0.52451546
0.41266864,0.40097464
0.52140787,0.8912145
0.48375791,0.879986
0.94817618,0.16885439
0.31964477,0.73553455
0.41258565,0.73904687
0.59040982,0.42651859
0.74234248,0.3685727
0.82287377,0.32746685
0.52376217,0.563749
0.45216131,0.48482091
0.46645305,0.80261202
0.32401362,0.83999693
0.36236116,0.84448376
0.35138347,0.73450503
0.61702562,0.36959465
1.0457259,0.21095833
0.78364808,0.32162169
0.41730643,0.71097178
0.48719874,0.43239836
0.42227195,0.67456397
0.40827085,0.58306935
0.58385033,0.61340901
0.34046175,0.48612076
0.74831272,0.56717064
0.78166639,0.35213259
0.67423282,0.43047369
0.67160402,0.45112742
0.90128773,0.33235262
0.67149266,0.38223236
0.57192733,0.39591028
0.54018679,0.60478977
0.45898153,0.4398635
0.61499302,0.29829417
0.44427625,0.61496473
0.5709644,0.29164908
0.55193873,0.54472392
0.46265806,0.54944599
0.47994184,0.64279384
1.1112345,0.28193389
0.64090791,0.36310562
0.56116019,0.58562072
0.49652881,0.51974797
0.5953571,0.23683257
0.32609317,0.70772102
0.69802689,0.40246688
0.69082102,0.76170665
0.42895962,0.58476306
0.65846907,0.55279986
0.43993437,0.36551309
0.53528631,0.24410467
0.61224742,0.37812273
0.49987685,0.47987186
0.57011597,0.4801711
0.37775002,0.60385517
0.4639087,0.62182238
0.38539029,0.36459257
0.65657533,0.45302094
0.6286993,0.29831633
0.89925664,0.47251244
0.41638666,0.53331128
0.51816967,0.60264434
0.72935641,0.55868797
0.48382978,0.34998584
0.47012316,0.51343466
0.60600014,0.65771747
0.62551976,0.65654532
0.68337117,0.57221099
0.65500411,0.47989422
0.58199999,0.67922731
0.70842998,0.68447478
0.30101322,0.61913183
0.54998992,0.75149283
0.39504451,0.43601402
1.3707412,0.42060372
0.99244006,0.32129121
0.40874678,0.48580414
0.4384293,0.32023607
0.54019876,0.4105699
0.50933184,0.80010495
0.3421471,0.93355258
0.50187908,0.34297794
0.40767117,0.84030527
0.2846633,0.71745629
0.51305446,0.41098172
0.66789662,0.53783651
0.81641285,0.32288282
0.34437683,0.58746148
0.36361027,0.83255247
0.47004708,0.55948272
0.67670048,0.31069774
0.30848449,0.76220663
0.47863613,0.3296932
0.44431214,0.38767312
0.46081652,0.58601041
0.56039362,0.45182285
0.56692937,0.49434553
0.51585321,0.4835804
0.6196415,0.80899402
0.49591544,0.81966304
0.41066267,0.44598989
0.49686696,0.69468589
0.5241518,0.77912394
0.42538363,0.63228555
0.53421822,0.9026961
0.50451711,0.79313371
0.41111581,0.76363033
0.41668771,0.39611086
0.55161342,0.57804062
0.54258665,0.4027573
0.44186135,0.52746621
0.69426391,0.53183174
0.4968401,0.51427848
0.54772755,0.53018683
0.61988772,0.60072184
0.87907322,0.3119434
0.90888449,0.27136694
0.33356017,0.73731896
0.48614144,0.71664356
0.34703007,0.44360498
0.55236614,0.8824129
0.35229012,0.83449957
0.53812553,0.35427105
0.56640482,0.42014183
0.41425437,0.48967204
0.40806078,0.88469703
0.55289039,0.51076849
0.50391353,0.46822946
0.37821669,0.89336715
0.57392657,0.99212553
0.34847129,0.78466092
0.65468284,0.45653373
0.58032811,0.48991393
1.3503339,0.17660859
0.55134076,0.52492957
0.70835154,0.43286098
0.64186025,0.35222292
0.38411444,0.57495986
0.53168853,0.70882001
0.5121055,0.29909718
0.86111897,0.60542631
0.35736612,0.59528373
0.35351793,0.44062656
0.87835566,0.74011822
0.47586639,0.41460424
0.76649388,0.63741216
1.005495,0.34812025
0.82619699,0.34356071
0.48136228,0.51027392
0.66544993,0.71425141
0.58151611,0.37745606
0.47731366,0.43272838
0.70961431,0.35530062
0.77681461,0.32766835
0.65035139,0.22308996
1.0703053,0.22083339
0.47850809,0.61570084
0.43271542,0.39434206
0.6922024,0.71806177
0.31918664,0.62522823
0.42107269,0.79164784
0.4377617,0.64327487
0.42673941,0.73618242
0.63689182,0.65525294
0.46395401,0.52747228
0.88276626,0.35554684
2.331603,0.23518898
1.4072563,0.16834463
0.64128656,0.56957716
0.27586944,0.74145319
0.52603331,0.61067816
0.49716596,0.58074557
0.41922267,0.72515079
0.5138029,0.40096141
0.41810949,0.55697884
0.49522929,0.54342448
0.72738025,0.32207094
0.4599583,0.58136674
0.59632677,0.4352993
0.41556356,0.53976568
0.59036181,0.28621367
0.3807701,0.8087769
0.43072187,0.88030421
0.42369968,0.36534127
0.53526445,0.39572848
0.33868061,0.68229975
0.69783136,0.82010702
0.36291909,0.71026613
0.51323852,0.82951532
0.41651586,0.82064615
0.50596309,0.40446918
0.54174896,0.48205565
0.41989639,0.7788475
0.40133988,0.72858623
0.65892387,0.28382731
0.35328028,0.75541644
0.32077383,0.73824519
0.35470705,0.68710581
0.72516096,0.41855253
0.63328441,0.38069924
0.4453415,0.57639037
0.4464418,0.58845983
0.74517637,0.25711449
0.78549992,0.2727475
1.019467,0.24254107
0.63006618,0.32786913
0.63054979,0.37089335
0.56929086,0.4659572
0.57772704,0.50334482
0.99345767,0.25717046
0.45309519,0.50140207
0.51457232,0.63767712
0.54307287,0.44962842
0.34567168,0.61126323
0.58401582,0.58936863
0.58377321,0.64379921
0.21112798,0.76168092
0.51923169,0.57464346
0.59632097,0.45399584
0.69896603,0.39864354
0.79671114,0.28648579
0.42913603,0.51647873
0.5449152,0.47988961
0.49280141,0.50388846
0.44232722,0.36851572
0.77632319,0.77310181
0.55785426,0.41179512
0.8360079,0.52415446
1.236457,0.40100186
0.29989195,0.72862907
0.68038418,0.27143072
0.68538057,0.33764207
0.38176088,0.68225826
0.42894741,0.67347853
0.62478611,0.78457281
0.48902402,0.36509598
0.48008843,0.8353527
0.3141668,0.74888975
0.67877861,0.5887904
0.96490608,0.36187026
0.99104671,0.58520169
0.98148929,0.58131383
0.49354561,0.61008496
0.34285298,0.62741214
0.5768495,0.54466511
0.38674945,0.64846697
0.59595152,0.60659693
0.45435499,0.53261325
0.56991427,0.52122309
0.6198973,0.40039575
0.66625262,0.55770374
0.79754572,0.20091273
0.61009434,0.65786336
0.55130269,0.50609995
0.51352412,0.45529478
0.56984004,0.47003112
0.65651341,0.70942563
0.75035838,0.7590677
0.55289068,0.53575272
0.2933263,0.83936938
0.76702339,0.82918623
0.76299408,0.8489788
0.33697991,0.56356362
0.6343044,0.92643001
0.30587646,0.68545484
0.53809737,0.68739172
0.58027277,0.4734793
0.59008485,0.54548165
0.45800171,0.63825502
0.86769219,0.39935777
0.38153551,0.53815744
0.56942028,0.74802659
0.49582719,0.39547604
0.44285124,0.4621396
0.40905983,0.76997334
0.99715233,0.31197155
0.90682783,0.21100264
0.51920387,0.67548019
0.54317651,0.71197382
0.45095955,0.6359042
0.28222698,0.41051545
0.72257776,0.53868498
0.81160045,0.47035093
0.53930449,0.47190428
0.47932211,0.48505723
0.62296156,0.22758885
0.63905586,0.4815105
0.59821381,0.35081047
0.5943407,0.63541822
0.43651081,0.68681167
0.49987385,0.44785177
0.38991915,0.75369255
0.56987182,0.58757078
0.53419605,0.40002392
0.5285343,0.81882476
0.52274249,0.35532485
1.1704407,0.32456407
0.23382848,0.64115595
0.71517288,0.42037131
0.53261811,0.28829163
0.29751987,0.7423745
0.34420463,0.72073201
0.55805781,0.51344824
0.74701185,0.35633816
0.4568832,0.58617203
0.49886146,0.52229255
0.58095643,0.41487694
0.39862644,0.47139211
0.38873525,0.37948555
0.49154228,0.38799815
0.77555461,0.53861072
0.81173871,0.24662271
0.54622137,0.72082059
0.59974089,0.82410647
0.6303562,0.24516186
0.62905894,0.70788816
0.69344226,0.5640671
0.71528113,0.53399442
0.50915377,0.38835783
0.49320656,0.68967144
0.95908619,0.27791296
0.871957,0.32418226
0.84283949,0.25070156
0.80216049,0.26448347
0.54001573,0.6588971
0.93334233,0.43041992
0.64171712,0.43407635
0.54727111,0.63941627
0.50379163,0.39175112
0.39741952,0.64895322
0.39205692,0.66211921
0.32919968,0.83190578
0.39959068,0.82124202
0.33678233,0.86453485
0.27803188,0.77981089
0.7702241,0.32951808
0.50260512,0.45013456
0.53941153,0.60247007
0.67908202,0.49786427
0.59377131,0.5251324
0.35328357,0.8238195
0.71716397,0.47989998
0.78502286,0.3343302
0.77001886,0.26817821
1.1946742,0.2441772
0.39903209,0.51964196
0.51281069,0.33579195
0.62159419,0.35623288
0.36666753,0.6453254
0.37094566,0.76417095
0.86013961,0.27276804
0.30691423,0.67839401
0.50634668,0.888592
0.44314037,0.30665134
0.494803,0.7760947
0.62454125,0.28728525
0.67488381,0.22245564
0.49440571,0.51761738
0.63478015,0.3232866
0.49554683,0.79517066
