,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-92.2611,0.0782112,2.87436,2.74374,-97.6767,-91.8828,-88.2542,1390.15,2419.98,39.9606,1.00198
c[1],2.97834,0.00733343,0.343345,0.340117,2.41261,2.98527,3.53706,2207.19,2709.18,63.4468,1.00029
c[2],1.51227,0.00460144,0.23064,0.224801,1.14349,1.51035,1.90316,2525.38,2828.42,72.5933,1.00195
"A[1,1,1]",0.474531,0.00151659,0.0729539,0.0727868,0.352793,0.475381,0.594443,2302.01,2587.23,66.1725,1.00196
"A[1,1,2]",-0.5579,0.00187426,0.104757,0.106073,-0.729185,-0.556487,-0.387094,3179.65,2825.35,91.4006,1.0021
"A[1,2,1]",-0.118505,0.000954712,0.0472987,0.0473576,-0.193697,-0.118193,-0.0406722,2425.85,2635.5,69.7323,1.00373
"A[1,2,2]",0.271322,0.00128384,0.0718121,0.0701757,0.156253,0.270826,0.389765,3165.59,2978.58,90.9965,0.999682
"A[2,1,1]",-0.0708974,0.00124805,0.0665059,0.06542,-0.181774,-0.0710491,0.0384732,2858.45,2906.39,82.1677,1.00289
"A[2,1,2]",-0.0463741,0.001737,0.0971517,0.0939463,-0.206778,-0.0468108,0.113358,3173.44,2743.85,91.2224,1.00203
"A[2,2,1]",-0.0606833,0.000730836,0.0413976,0.0398956,-0.130779,-0.060023,0.00614834,3223.65,2959.86,92.6655,1.00089
"A[2,2,2]",0.0171294,0.00126298,0.0716832,0.071644,-0.101922,0.017192,0.13742,3219.44,3114.68,92.5446,1.00264
sigma[1],0.944174,0.000673697,0.048671,0.0495265,0.869651,0.942082,1.02911,5391.2,2882.79,154.973,1.00035
sigma[2],0.640323,0.00052302,0.0321328,0.0319262,0.589203,0.639637,0.695787,3851.07,3204.18,110.701,1.00066
"Rho[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"Rho[1,2]",0.217849,0.00102383,0.0664706,0.0670526,0.102604,0.21904,0.323602,4242.93,2849.87,121.965,1.00164
"Rho[2,1]",0.217849,0.00102383,0.0664706,0.0670526,0.102604,0.21904,0.323602,4242.93,2849.87,121.965,1.00164
"Rho[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
lambda,0.575028,0.00384391,0.200063,0.169061,0.331416,0.536154,0.937103,3419.19,2636.09,98.2866,0.999879
theta,0.53225,0.00311387,0.174624,0.190552,0.262115,0.52272,0.834504,3136.1,2692.03,90.1488,1.0
