,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-93.2993,0.0649721,2.83517,2.81598,-98.4288,-93.0018,-89.252,1893.55,2621.42,57.6723,1.00024
c[1],2.95332,0.00735376,0.335227,0.336753,2.3982,2.9485,3.50236,2091.73,2444.53,63.7081,1.00208
c[2],1.5014,0.0048501,0.227546,0.222783,1.13364,1.50033,1.87591,2218.89,2515.35,67.581,1.00014
"A[1,1,1]",0.476863,0.0013561,0.0700204,0.0680207,0.358916,0.476983,0.592746,2701.42,2819.37,82.2775,1.00192
"A[1,1,2]",-0.551062,0.00191027,0.103835,0.103304,-0.721057,-0.549879,-0.377212,2974.61,2952.82,90.5983,0.999885
"A[1,2,1]",-0.117636,0.000974676,0.046416,0.0450669,-0.194652,-0.118065,-0.0412923,2279.85,2710.53,69.4377,1.00069
"A[1,2,2]",0.275365,0.00134772,0.0725998,0.0732981,0.15561,0.275251,0.394501,2936.83,2488.44,89.4475,1.00053
"A[2,1,1]",-0.069996,0.00114033,0.0642294,0.0649243,-0.175127,-0.0693684,0.0343662,3195.43,2750.29,97.3237,1.00049
"A[2,1,2]",-0.0452099,0.00171598,0.0945173,0.0930498,-0.198032,-0.0470114,0.11107,3073.51,2824.79,93.6105,1.00162
"A[2,2,1]",-0.0596112,0.000801358,0.0426892,0.0418976,-0.13109,-0.0592491,0.00989279,2861.88,2839.1,87.1647,1.00167
"A[2,2,2]",0.0159293,0.00137541,0.0712694,0.0698806,-0.100836,0.0173095,0.134277,2712.13,2699.44,82.6037,0.99953
sigma[1],0.942675,0.000711005,0.0476655,0.0456957,0.867727,0.940115,1.02452,4480.5,2823.9,136.463,1.00027
sigma[2],0.639886,0.000491718,0.031699,0.030733,0.59045,0.638,0.695878,4276.78,3044.91,130.259,0.999865
"Rho[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"Rho[1,2]",0.216099,0.000918682,0.0661127,0.0671538,0.106209,0.217491,0.322524,5255.68,3003.88,160.073,1.00163
"Rho[2,1]",0.216099,0.000918682,0.0661127,0.0671538,0.106209,0.217491,0.322524,5255.68,3003.88,160.073,1.00163
"Rho[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
lambda,0.496232,0.00285931,0.150571,0.129784,0.305906,0.469568,0.7727,3265.13,2436.65,99.4467,1.00035
theta,0.574559,0.00308745,0.16965,0.190562,0.305909,0.568292,0.85707,2975.58,2535.88,90.6277,1.00054
