lambda,theta
0.40370113,0.68992717
0.47727052,0.62966604
0.73315129,0.3097862
0.67728778,0.46860843
0.33232769,0.89663439
0.5665418,0.42843594
0.59474203,0.64627517
0.42176633,0.91793687
0.46714846,0.62301731
0.42202095,0.69330855
0.47065062,0.61123409
0.50351752,0.50274826
0.44102747,0.667698
0.38131173,0.67359378
0.40119506,0.64176959
0.56639109,0.45889894
0.64158023,0.49361114
0.39270095,0.52479692
0.35630422,0.49713838
1.0181016,0.45480129
1.0783951,0.30070741
0.32095208,0.77096878
0.61266537,0.53992435
0.40839626,0.58294087
0.48166965,0.48900298
0.42833736,0.646332
0.45724274,0.68603324
0.57182255,0.43404105
0.5078226,0.44137832
0.29643988,0.90293044
0.55063861,0.84663303
0.33066218,0.47383016
0.4298397,0.57970577
0.44995136,0.60057975
0.42574141,0.47482806
0.70966695,0.55323014
0.52075251,0.2773866
0.50303252,0.70522065
0.39498703,0.50085952
0.51280563,0.63111543
0.44856821,0.60402255
0.48306741,0.53074516
0.30801576,0.83863784
0.32943555,0.74129944
0.64825523,0.41858437
0.36053028,0.56008392
0.34011137,0.84756496
0.79846733,0.40498399
0.70711084,0.33024942
0.50243282,0.57794973
0.92159038,0.22081938
0.47253339,0.59950384
0.33746263,0.73891176
0.35283501,0.56426907
0.67550652,0.36185474
0.45251032,0.49730455
0.42910883,0.42765904
0.36775177,0.66143222
0.46561958,0.51464426
0.38831484,0.57646066
0.54701506,0.67847208
0.42242388,0.5558901
0.38011117,0.80458841
0.34591178,0.70194309
0.35047078,0.83962391
0.43101132,0.55542499
0.53224578,0.43802828
0.54980494,0.49444286
0.35209226,0.70784655
0.76563497,0.34233018
0.6305361,0.40907579
0.41607207,0.62590331
0.47939983,0.5041176
0.48768106,0.38933293
0.67553293,0.5843155
0.57110936,0.55297244
0.47198652,0.60917618
0.60404835,0.54936126
0.64062182,0.34016389
0.37160572,0.72248459
0.61465523,0.38468399
0.37567626,0.70867245
0.66614315,0.22409297
0.36756087,0.33757934
0.53800842,0.71868857
0.68789999,0.34300496
0.67643981,0.34048457
0.56762684,0.49060306
0.41077768,0.84435226
0.42840445,0.87118817
0.3975147,0.64909016
0.36584587,0.54181186
0.74225171,0.53869126
0.63200325,0.44506251
0.40711712,0.55946657
0.43063625,0.28396618
0.58372995,0.6079366
0.5888986,0.54160209
0.77916662,0.51366617
0.43692794,0.50353295
0.49400852,0.63766289
