lambda,theta
0.36233644,0.60523662
0.56050925,0.35977137
0.44992519,0.52800094
0.40983653,0.53371906
0.4685427,0.4439071
0.37587144,0.56945723
0.3518377,0.81738172
0.45710747,0.53020606
0.37287656,0.60234327
0.43447484,0.58131506
0.50652431,0.41269992
0.33617088,0.62789791
0.27288921,0.88656384
0.53743958,0.44104847
0.29157196,0.78164007
0.55139179,0.27445406
0.28650124,0.82320383
0.31701091,0.78335409
0.43941377,0.5212059
0.51462154,0.53362713
0.28403627,0.66591958
0.42199954,0.5212588
0.30181299,0.716455
0.39369728,0.53103578
0.31302942,0.83335698
0.30794879,0.72429953
0.39598725,0.60990713
0.44318364,0.42126771
0.4244963,0.76505067
0.39131378,0.52864202
0.47690643,0.64183045
0.57816936,0.5048546
0.83325955,0.2873016
0.3808362,0.65812918
0.45721568,0.46166262
0.31587656,0.83999409
0.54083788,0.348277
0.52645937,0.43919203
0.27925697,0.79300025
0.46577034,0.251153
0.41583453,0.34678247
0.44259943,0.511933
0.95746223,0.56411792
0.90558764,0.49124357
0.32100077,0.48446884
0.33209757,0.50090208
0.45249801,0.79470765
0.54949792,0.66939972
0.42112585,0.61110217
0.4270116,0.72933039
0.38461662,0.69864063
0.40740593,0.65068249
0.48941325,0.65407936
0.55252649,0.42143112
0.30138051,0.80797064
0.47685227,0.47737615
0.53918453,0.80003452
0.50854565,0.87111243
0.25308612,0.90917863
0.54433825,0.33308208
0.50922085,0.37964307
0.74389188,0.37424945
0.3265713,0.93529044
0.3989523,0.39401111
0.48176686,0.90111823
0.35315018,0.46440908
0.49148305,0.8677247
0.49032802,0.79156889
0.48548205,0.56453653
0.34552431,0.68383001
0.51531608,0.57800035
0.28669121,0.64705644
0.32184962,0.69063011
0.29522621,0.79601939
0.51074079,0.60384893
0.41662064,0.61536635
0.46554847,0.48827454
0.37407737,0.60741739
0.31495144,0.75049621
0.54844425,0.27934809
0.24008372,0.73462078
0.33405876,0.85067598
0.33637632,0.88770664
0.33849418,0.95483146
0.2666337,0.9158892
0.38696618,0.35019251
0.47319757,0.49020606
0.41743274,0.54675394
0.62401366,0.8262212
0.37159579,0.30325375
0.32592482,0.59603317
0.2940217,0.71255708
0.45099401,0.50930095
0.45295304,0.57979716
0.30439335,0.6955076
0.51068108,0.3705686
0.36193778,0.64872275
0.41431643,0.61813085
0.40409228,0.3995149
0.55889563,0.62342258
0.46626964,0.51280045
0.48425261,0.56802558
0.4305915,0.50677243
0.31997259,0.81211824
0.38065584,0.78674745
0.21125543,0.89286557
0.32898615,0.75683757
0.38027219,0.44884728
0.42319085,0.62381561
0.38424699,0.4948093
0.36488383,0.54941512
0.37424235,0.87278912
0.39832833,0.36754234
0.35136191,0.75039671
0.30195466,0.81689293
0.41759591,0.50521906
0.39972073,0.36464489
0.39695067,0.71084201
0.33477252,0.68300531
0.35591561,0.361689
0.36199155,0.62396029
0.44172443,0.60657154
0.50259917,0.48948477
0.47856956,0.35015827
0.47955012,0.35035284
0.34950659,0.77231622
0.33815809,0.76178959
0.36176586,0.82160125
0.39784463,0.72882024
0.51082627,0.40671812
0.31080449,0.80495386
0.55755259,0.53086419
0.32315293,0.68354072
0.49827158,0.62877973
0.43764513,0.54106123
0.43403654,0.49252833
0.3385869,0.79856427
0.30030966,0.84657582
0.58315531,0.39352448
0.30241129,0.50950241
0.42359553,0.71191647
0.29699748,0.42078886
0.47157202,0.82488458
0.39920725,0.93316599
0.42369179,0.94432399
0.42408331,0.87499923
0.31850838,0.78367275
0.37592849,0.77617687
0.48749442,0.62148945
0.40672755,0.68658444
0.34542374,0.6705
0.36280412,0.89389567
0.42324319,0.78062323
0.27119084,0.89382488
0.39455499,0.40561946
0.43355454,0.74752071
0.48080214,0.74765205
0.27757709,0.59218269
0.55377549,0.75492018
0.38965965,0.42552215
0.40973096,0.59421785
0.48336577,0.4303236
0.39533222,0.79612342
0.3437871,0.69830727
0.40857198,0.65028136
0.29569768,0.83549807
0.48707829,0.75487258
0.37484738,0.43958308
0.37698134,0.40992298
0.54755595,0.58589583
0.55864936,0.53615378
0.33282311,0.71027139
0.41866119,0.47369316
0.40119489,0.55899308
0.42069616,0.51632827
0.35272374,0.83348231
0.53663676,0.68627968
0.24840714,0.75012781
0.50805058,0.48264804
0.38267808,0.81710176
0.33465202,0.83127828
0.47131394,0.65686235
0.4044272,0.63415028
0.48644698,0.45599639
0.80014872,0.50677009
0.65857045,0.62779948
0.5652876,0.53738058
0.37176454,0.58234303
0.46955165,0.54315722
0.30323706,0.94056775
0.73910982,0.38355405
0.23525694,0.75206477
0.34290223,0.61807756
0.30343135,0.4852206
0.44407784,0.43147525
0.3527635,0.72092814
0.42408033,0.87514316
0.4009935,0.75543829
0.34688939,0.46981752
0.43375688,0.47277492
0.40732059,0.57578027
0.42629235,0.41355192
0.70932328,0.49514565
0.34544734,0.59606364
0.39912797,0.34236118
0.37225317,0.5837918
0.40608372,0.62715272
0.43577013,0.5841341
0.34044946,0.61772947
0.38127087,0.34482065
0.26679609,0.57893647
0.29401967,0.66609718
0.37771093,0.53334023
0.36763343,0.69607351
0.32108405,0.55557588
0.43429696,0.540439
0.54125134,0.62355059
0.37731288,0.69297592
0.44674466,0.45315442
0.40618739,0.35066021
0.50567705,0.65979169
0.34327591,0.60882206
0.36710169,0.66030349
0.39765116,0.68394761
0.32383469,0.90722156
0.33626484,0.47102472
0.40583065,0.69403406
0.47163446,0.7296071
0.21529289,0.90261602
0.33362549,0.76129227
0.26947806,0.74255213
0.28847295,0.70594468
0.50468895,0.75711678
0.36013574,0.7251733
0.563801,0.3626556
0.54142947,0.2961622
0.33323299,0.75721586
0.44636854,0.70219332
0.38136871,0.70235605
0.38212532,0.59401221
0.40220087,0.79269272
0.28416235,0.69125457
0.34141382,0.78848956
0.42442028,0.57594843
0.44132121,0.58296451
0.34988916,0.82455495
0.44111175,0.50849349
0.35903618,0.88735521
0.45276973,0.70409876
0.54762825,0.40497603
0.42254498,0.60254832
0.51553934,0.50069072
0.3440423,0.66445192
0.54255614,0.5792066
0.25905123,0.75334699
0.24989985,0.74969402
0.34848831,0.80937676
0.40266382,0.62283679
0.48681703,0.63091186
0.38405428,0.50859118
0.32631913,0.51319263
0.44384096,0.48215118
0.4496044,0.30030449
0.37658777,0.77173191
0.32894251,0.63661472
0.35424202,0.51564845
0.46292982,0.64102752
0.41235092,0.58824979
0.37995342,0.69645624
0.279493,0.62764159
0.49468675,0.49218333
0.27070651,0.72240272
0.49662073,0.69152963
0.33209386,0.74411307
0.29402147,0.49643701
0.38875515,0.7994223
0.26147141,0.61305596
0.35411393,0.92321321
0.3834306,0.75482986
0.28763752,0.56990651
0.62465561,0.35658967
0.61702406,0.38625172
0.46859467,0.43980968
0.35826954,0.61169765
0.48360121,0.40527013
0.5512878,0.5009586
0.47262661,0.40006703
0.56402455,0.52159274
0.38765784,0.56074028
0.52363373,0.39443964
0.44391036,0.50864127
0.40816572,0.72135737
0.44563537,0.75266013
0.41222575,0.66400124
0.40819774,0.87263566
0.53029143,0.40043924
0.28925235,0.63817979
0.32846512,0.50082147
0.37839684,0.54656249
0.38313629,0.6242735
0.42384318,0.61569407
0.33508871,0.63000053
0.37986863,0.72678484
0.29951228,0.47871496
0.27461009,0.50991396
0.3206386,0.57979072
0.51872673,0.43507024
0.26430591,0.82514639
0.29179193,0.6808059
0.22165352,0.51538071
0.27286673,0.56878761
0.52769825,0.35001583
0.35167232,0.89345704
0.33045944,0.45107811
0.45641504,0.52727006
0.68483336,0.69510871
0.44223095,0.42589685
0.4524747,0.57388802
0.42361155,0.72495316
0.42410338,0.54471895
0.30708988,0.69950211
0.29262136,0.60265075
0.26800966,0.64619664
0.30607454,0.62033008
0.38885748,0.66620521
0.56450954,0.54235162
0.48576806,0.30141569
0.48002805,0.71729928
0.21599809,0.81700644
0.48118114,0.87119361
0.31523863,0.83547993
0.53631503,0.6954615
0.49313885,0.61918271
0.25138423,0.64235082
0.50835978,0.5170221
0.49131617,0.63475876
0.48275382,0.72547221
0.47109576,0.62279409
0.52960615,0.47340626
0.44615369,0.49507486
0.28641114,0.78946008
0.57359765,0.39900719
0.42800962,0.51190317
0.36628,0.76973336
0.36340876,0.66249976
0.4173824,0.51524759
0.37225797,0.55245118
0.3914948,0.51385523
0.37570391,0.36023238
0.350551,0.39691309
0.4209349,0.81563302
0.52691931,0.65916499
0.4445867,0.46309832
0.47176552,0.70177433
0.58877763,0.39596436
0.68416892,0.51645962
0.47884353,0.45798286
0.41914437,0.64442367
0.35388694,0.92295914
0.38186485,0.83724906
0.28897168,0.56911793
0.33477405,0.57663701
0.58098969,0.44605515
0.28444226,0.72554314
0.42361055,0.53545913
0.35431198,0.46108791
0.46636094,0.67342058
0.3417568,0.72948868
0.42977666,0.54115569
0.41052255,0.4615905
0.48638413,0.37757517
0.33375624,0.64739403
0.3588933,0.61431626
0.41339813,0.58273118
0.37040647,0.43228128
0.42850228,0.72252905
0.35922584,0.35832585
0.46693849,0.53907656
0.40421151,0.6398524
0.34520302,0.66839587
0.4935317,0.41888438
0.3488998,0.72927102
0.53445903,0.46372366
0.4018338,0.5485449
0.45920656,0.57703585
0.35040303,0.62835872
0.31062152,0.72968104
0.38722897,0.70752536
0.55976619,0.37482854
0.29729554,0.79743998
0.54286876,0.53401234
0.3925514,0.55523967
0.33467562,0.60063769
0.35784785,0.7842796
0.39631908,0.47815849
0.40166773,0.44173373
0.51854392,0.50016949
0.39706996,0.61232554
0.318604,0.63366898
0.42294207,0.54373549
0.26727059,0.56372181
0.2631424,0.57351297
0.37910704,0.40513585
0.51114412,0.45930288
0.29673722,0.92693396
0.33089634,0.76020598
0.35428433,0.546998
0.40629635,0.7739862
0.3523444,0.36223955
0.41590319,0.83905141
0.3729136,0.41316754
0.58598597,0.57090187
0.38084268,0.82740583
0.33393423,0.55009587
0.40528595,0.6179038
0.39547432,0.42282426
0.40939334,0.65275433
0.26897774,0.72695801
0.34814437,0.77671717
0.32660852,0.68889566
0.5854286,0.68799084
0.45954714,0.40823008
0.47421622,0.66474509
0.49023705,0.65025054
0.36449202,0.47294728
0.26243348,0.63441934
0.38783193,0.87191775
0.32710572,0.86182163
0.56675106,0.42913211
0.4206045,0.56250931
0.49203093,0.51012263
0.53814888,0.59810975
0.42313703,0.46777393
0.30010312,0.73947613
0.38831936,0.54456373
0.44036572,0.60605709
0.34719675,0.72219433
0.41370691,0.60321462
0.34100458,0.70663257
0.43045549,0.63764771
0.58273022,0.72961209
0.5388581,0.58874274
0.36002627,0.43931973
0.34004756,0.60820016
0.60758963,0.54400238
0.29543014,0.64314136
0.46818484,0.81040371
0.53348267,0.56978627
0.28802404,0.61958206
0.34215832,0.89492294
0.58614881,0.71890366
0.71161943,0.43076141
0.3427511,0.79395919
0.47033266,0.55998634
0.56966704,0.43021737
0.33275163,0.67392225
0.46941656,0.5607806
0.54860083,0.44030779
0.56466424,0.58059208
0.44634814,0.58751329
0.35187369,0.57523286
0.31745789,0.50893975
0.40957569,0.80623773
0.3690459,0.51981412
0.36864345,0.72445529
0.4037907,0.69306886
0.38441061,0.44175812
0.29348602,0.92534225
0.41813162,0.95330658
0.4762818,0.86845545
0.48869771,0.65171168
0.39717357,0.75584344
0.32815911,0.46663853
0.63591914,0.62376013
0.5012393,0.67047814
0.49948665,0.66093649
0.36997113,0.35425963
0.57149235,0.84705622
0.26566119,0.51225226
0.50409681,0.72827625
0.54361307,0.83967636
0.47598409,0.8588294
0.38638982,0.88296115
0.41015844,0.96988093
0.27691473,0.85139904
0.37255797,0.7558657
0.46033735,0.52754622
0.3246565,0.54163973
0.54808536,0.76191658
0.41974663,0.79759048
0.31354856,0.76000251
0.50545614,0.6892597
0.35301168,0.60595073
0.41924086,0.52874204
0.46717103,0.34721025
0.6995932,0.41206001
0.41196054,0.51014301
0.38134164,0.77340015
0.25697258,0.6775373
0.26444056,0.69390435
0.71405066,0.61753448
0.72400711,0.61912521
0.54401028,0.71705277
0.45346785,0.69897638
0.35788234,0.41357557
0.43711231,0.80099977
0.38703097,0.5184947
0.36473418,0.64992115
0.37694805,0.61078287
0.59771321,0.63455539
0.56614888,0.32107541
0.32171306,0.80996216
0.37334921,0.70330402
0.67262527,0.51986561
0.53381675,0.61587285
0.37236454,0.78642957
0.41852873,0.49990439
0.33789202,0.58021081
0.3261837,0.52204047
0.47993573,0.79908801
0.39465032,0.37805732
0.32380061,0.73145609
0.45460237,0.63288314
0.38610694,0.6386787
0.37417177,0.74964024
0.50730488,0.39010864
0.5227675,0.40739187
0.42247171,0.47970461
0.453302,0.49199084
0.37518183,0.48075714
0.37464286,0.61854127
0.27976258,0.61446227
0.39531993,0.68091522
0.23649111,0.61063552
0.41785905,0.60540851
0.48262446,0.42772691
0.55849278,0.31841968
0.39581284,0.62176553
0.56952303,0.25000055
0.66581819,0.62480079
0.63186859,0.6609174
0.3253614,0.49258788
0.54847969,0.42937496
0.36540085,0.54059343
0.31520543,0.59464963
0.41473054,0.53697054
0.38252613,0.47343363
0.37263053,0.38305624
0.34846983,0.41020437
0.37424277,0.8254562
0.3357087,0.57684428
0.33322414,0.70947606
0.32366469,0.55010587
0.35614609,0.52929381
0.33867252,0.43492404
0.32500498,0.61576053
0.53520243,0.5135924
0.46459402,0.44996789
0.43112481,0.45285263
0.40716191,0.65221856
0.38863796,0.70129069
0.34801674,0.5839275
0.3171092,0.56632656
0.4179193,0.54378492
0.52106567,0.50329586
0.36670044,0.91278276
0.41034728,0.87229642
0.36187503,0.3370001
0.65559546,0.65779305
0.30557258,0.85623804
0.41021848,0.70953345
0.56566481,0.36394034
0.58923182,0.6242017
0.39418181,0.47409356
0.41009732,0.53901048
0.25436881,0.80708768
0.3430263,0.89802892
0.40107481,0.91773667
0.41873384,0.52079545
0.46619253,0.55749023
0.39650423,0.59956553
0.47272145,0.35431516
0.50734983,0.48172063
0.26118648,0.59823407
0.34008304,0.67212162
0.30062413,0.66615337
0.41554354,0.83658364
0.36828563,0.68188565
0.43964516,0.62267077
0.44723178,0.64086699
0.47300426,0.57943616
0.5255187,0.48430723
0.34162564,0.59761707
0.39802778,0.42975844
0.33324806,0.58996375
0.48176725,0.8281399
0.38315548,0.67478115
0.58987343,0.5080517
0.26972629,0.6793254
0.25301232,0.68044215
0.25994462,0.72732132
0.26052125,0.74465467
0.35563248,0.85984389
0.40355083,0.57856599
0.31358832,0.83434725
0.60487404,0.34978456
0.46382058,0.6958887
0.48026864,0.5299877
0.34870231,0.63015701
0.33451382,0.48050001
0.45772169,0.84010675
0.36818947,0.75723618
0.56559714,0.81710009
0.32623655,0.47457782
0.32398575,0.49707846
0.55997598,0.66823229
0.50692852,0.39039138
0.4948474,0.40369398
0.51225208,0.75795323
0.42264161,0.81135299
0.43935566,0.76393549
0.43139762,0.46363866
0.53109921,0.42563773
0.3542932,0.92679794
0.44557458,0.96484255
0.47026643,0.9303323
0.29514906,0.71387376
0.43605652,0.75454547
0.34275694,0.60694831
0.39477696,0.69621867
0.54838735,0.6012905
0.62394794,0.84905418
0.34977826,0.59086282
0.43400789,0.50575139
0.37997517,0.62410427
0.53744171,0.6247579
0.34692598,0.58208762
0.39804135,0.35963405
0.4219189,0.8969516
0.44222971,0.91259907
0.31889949,0.41236417
0.57018191,0.73232326
0.42982832,0.31951197
0.47125336,0.74129315
0.41982624,0.97935758
0.38029684,0.3817494
0.48806208,0.91841179
0.45450812,0.43505556
0.45006002,0.43246985
0.44462945,0.66608782
0.41231748,0.65588044
0.63668258,0.58319507
0.75435821,0.59678
0.36538292,0.51543872
0.2996802,0.80799014
0.48522204,0.36322557
0.30103944,0.8038271
0.68852358,0.4965309
0.30245937,0.87342281
0.32255209,0.78897197
0.44036294,0.50484521
0.44658484,0.5514655
0.32011372,0.78907327
0.5577897,0.45449738
0.53522077,0.31758628
0.57986441,0.59282934
0.55612433,0.56950589
0.40135077,0.53471408
0.37834844,0.67017201
0.43286114,0.56007373
0.36403978,0.54741285
0.37054065,0.59997232
0.43342932,0.60483435
0.33542731,0.65627668
0.45982572,0.511042
0.30050634,0.68491413
0.50225685,0.608722
0.46982201,0.47777894
0.31506238,0.73129618
0.56890842,0.34501554
0.54942376,0.21711363
0.33725992,0.67715154
0.46368714,0.43418303
0.51200745,0.38963768
0.40484608,0.61475989
0.4035924,0.42829163
0.63308661,0.62567163
0.63551005,0.62184615
0.34667466,0.67301367
0.40816556,0.82226885
0.28569067,0.58564267
0.49437782,0.58625236
0.41953476,0.62433708
0.47098372,0.44111056
0.40306555,0.54309829
0.5270685,0.42611349
0.47009725,0.40545281
0.51245782,0.45962049
0.42397313,0.68467404
0.46895519,0.60503526
0.39438633,0.64837737
0.37496471,0.67203736
0.79532136,0.37606427
0.57241613,0.3668353
0.44270128,0.62309233
0.40948125,0.63969397
0.3135085,0.73165591
0.56664446,0.39378101
0.41307261,0.50240383
0.42630033,0.53409601
0.39388815,0.4856039
0.38648439,0.78803107
0.30751457,0.84878411
0.33706428,0.74356841
0.37452927,0.76501382
0.5382292,0.38046803
0.50491116,0.68121189
0.37103685,0.59205789
0.53206675,0.35279137
0.39359097,0.71009171
0.3469318,0.81516764
0.47190335,0.42416143
0.49584324,0.60396698
0.3250907,0.69373479
0.4489185,0.6574379
0.53566198,0.45409358
0.66699303,0.50241909
0.47003438,0.60383635
0.40381119,0.76979611
0.45980331,0.94834468
0.29112269,0.79060432
0.40797898,0.78283075
0.63535947,0.27823101
0.50117592,0.56453356
0.36007061,0.49866719
0.42486817,0.55801406
0.33823555,0.61062879
0.53511571,0.42834538
0.64242665,0.48185575
0.54091272,0.28582555
0.55348425,0.55465649
0.53764701,0.51742522
0.4736268,0.56906227
0.47826413,0.57274029
0.34904094,0.63502044
0.46240395,0.51613175
0.46344562,0.4151217
0.44185659,0.37898247
0.66433227,0.57506447
0.40495258,0.7795949
0.42324128,0.78275809
0.46521689,0.47788643
0.26630208,0.76010335
0.38050706,0.8441384
0.27989032,0.58594607
0.39771546,0.77745918
0.38178818,0.77990452
0.44752574,0.33768826
0.40482754,0.57180892
0.41215965,0.50207841
0.30440726,0.65755445
0.52316882,0.66001459
0.29117653,0.57285711
0.50060893,0.5672886
0.2789607,0.52167238
0.56653175,0.72138037
0.59579611,0.73379755
0.40032951,0.51242581
0.34854497,0.73220991
0.35630688,0.86188235
0.35883322,0.44994408
0.49656851,0.65424206
0.4254281,0.53144195
0.44346698,0.55343633
0.43193753,0.45993297
0.46693458,0.3910551
0.36021891,0.39038096
0.52092964,0.57198877
0.34460229,0.67555
0.36476433,0.57965319
0.33376781,0.68113713
0.44554673,0.88190535
0.33960636,0.51069075
0.45381537,0.59831295
0.54359421,0.54784631
0.26893303,0.60159235
0.34135336,0.68792934
0.49516221,0.42035777
0.26905572,0.68941325
0.32483885,0.70095525
0.55003693,0.57501483
0.41266387,0.38346674
0.36514466,0.66320891
0.41656364,0.85796608
0.28048474,0.57625005
0.40898342,0.85090602
0.32935976,0.70850134
0.2429851,0.88949574
0.52604527,0.25460268
0.37600467,0.80816724
0.51798277,0.95627816
0.33452132,0.81675824
0.35420784,0.87416133
0.34725339,0.47755511
0.36031405,0.79957815
0.36084598,0.43072809
0.38285988,0.74037885
0.46507599,0.50408607
0.36039612,0.47944645
0.47392806,0.60122119
0.3519528,0.6800938
0.55912966,0.55589835
0.47178531,0.3373464
1.0954861,0.50760051
0.33848658,0.4443813
0.35357895,0.62321563
0.45389618,0.37721869
0.36169233,0.74553121
0.62805373,0.61912545
0.37443895,0.58625996
0.56479105,0.5094632
0.33861952,0.61734911
0.72502459,0.34531733
0.56540882,0.42736975
0.40423225,0.54991748
0.42129203,0.82524333
0.33019466,0.51445501
0.50713547,0.4450151
0.24942875,0.73702317
0.26997064,0.77606717
0.58215378,0.3063706
0.41736827,0.60641808
0.37548089,0.66815177
0.34270536,0.75011113
0.45044398,0.49094013
0.33885208,0.74842013
0.74633187,0.49129153
0.73570252,0.44187871
0.53685349,0.43318793
0.39361825,0.53922821
0.46657318,0.37368103
0.46581744,0.37489407
0.29392391,0.71724012
0.36705442,0.62712367
0.35633164,0.65257523
0.40372102,0.64606824
0.52735355,0.64580784
0.47033469,0.41661246
0.59675254,0.50087205
0.25698672,0.72734645
0.55438005,0.60510769
0.40753254,0.61228596
0.36720498,0.69754695
0.33472078,0.69202405
0.5013796,0.9063917
0.29197694,0.76373851
0.44324491,0.82678633
0.33350695,0.55831004
0.54708054,0.57993086
0.54044999,0.45492406
0.30960753,0.68114489
0.59127887,0.48082809
0.46194542,0.6624789
0.39787869,0.49440608
0.7005876,0.55019659
0.3580067,0.55485512
0.44417542,0.63008402
0.41146894,0.89568874
0.27823725,0.48963138
0.87452628,0.42632126
0.4303599,0.42446946
0.40861945,0.46830666
0.40044562,0.70811024
0.32101775,0.87011632
0.4265965,0.37324185
0.25333019,0.72098634
0.48320009,0.36908248
0.26810296,0.77775191
0.32208846,0.71236112
0.4404157,0.5242898
0.37475568,0.61060443
0.29842937,0.58861053
0.41323287,0.50363536
0.59688841,0.40019399
0.46012831,0.62339302
0.36630919,0.66593724
0.59906876,0.50456604
0.57456751,0.50056335
0.35346283,0.87219635
0.42012651,0.90401522
0.40877921,0.74911347
0.55353233,0.39569881
0.49074261,0.43797817
0.38890914,0.53093235
0.4349562,0.59859889
0.52406562,0.37661167
0.33964306,0.83279721
0.26487976,0.81433661
0.58949093,0.50479309
0.47812105,0.42036401
0.29594861,0.71583139
0.36523524,0.91870094
0.3283343,0.90232754
0.34327896,0.86775779
0.41427696,0.41864366
0.33155753,0.49141284
0.32914231,0.476626
0.32709048,0.56451659
0.41512791,0.39176492
0.37794426,0.49754766
0.28501035,0.62047103
0.37277231,0.76227877
0.43610196,0.73100716
0.45020346,0.67741623
0.45078828,0.33219073
0.27603841,0.68844342
0.55390196,0.43404681
0.61372828,0.30357596
0.31524467,0.76248159
0.41227636,0.49394874
0.28809783,0.72384809
0.32436179,0.47883788
0.31284861,0.83952914
0.42393324,0.70123038
0.51836946,0.51708261
0.76630545,0.37638006
0.2704533,0.90124601
0.62760334,0.34437523
0.36342472,0.68906967
0.75506727,0.27503801
0.41587038,0.60481696
0.35561335,0.48163504
0.35800823,0.37461689
0.48265473,0.60173491
0.30854706,0.71406345
0.49743458,0.36392814
0.69633951,0.35916223
0.6066866,0.29089219
0.4372561,0.68310037
0.38915598,0.67626379
0.41308843,0.78331906
0.31098882,0.63013122
0.39220341,0.47469461
0.48526168,0.39558636
0.48558356,0.57990077
0.27884984,0.67742898
0.41616015,0.86100678
0.45394567,0.60956392
0.26219522,0.65412838
0.26273793,0.78506369
0.64015222,0.71823927
0.62357918,0.36172249
0.6406196,0.3833115
0.49803863,0.55362766
0.36779532,0.70213589
0.341277,0.49795742
0.56568179,0.77987178
0.55016744,0.79314965
0.55896517,0.6810005
0.25034281,0.48142443
0.47853482,0.70558154
0.31632168,0.40724977
0.5043955,0.566533
0.48051343,0.67471685
0.53887453,0.39469445
0.47651021,0.5664993
0.48829519,0.41822364
0.32537006,0.67840921
0.295667,0.75791939
0.40557709,0.87215754
0.29782228,0.85537815
0.52102226,0.46706723
0.55500031,0.35509328
0.30183595,0.84701343
0.46333825,0.46440961
0.54962471,0.69840958
0.36777573,0.61535629
0.50812794,0.52034599
0.46940461,0.58346576
0.30171206,0.63461189
0.26303331,0.67763028
0.5219041,0.47024926
0.45569436,0.60807914
0.38120796,0.59629735
0.29621834,0.63392136
0.35907077,0.62753847
0.36652379,0.61880602
0.76755361,0.36543627
0.45509794,0.49483198
0.42185754,0.68243555
0.36205414,0.62837485
0.29923828,0.68053634
0.40446429,0.74154204
0.29200369,0.54120367
0.55672389,0.67169136
0.47449273,0.38680884
0.43674443,0.44456215
0.42699768,0.404529
0.52925527,0.55743949
0.60279287,0.55470898
0.52656684,0.65934741
0.49109971,0.64433553
0.44982521,0.59201069
0.39579275,0.55161978
0.4052557,0.38295521
0.38049579,0.58757374
0.49753425,0.62937766
0.36890882,0.7070064
0.33990467,0.59241867
0.32421934,0.77130395
0.41758591,0.49721515
0.38947652,0.54947927
0.43281018,0.63923675
0.35622486,0.8176531
0.6014908,0.28006584
0.46388475,0.6655507
0.36863426,0.50069308
0.40441496,0.8640105
0.58323221,0.45920506
0.39174403,0.76084263
0.55425238,0.79653731
0.24356516,0.65892255
0.58561059,0.50736812
0.44148932,0.49843313
0.35763171,0.47080806
0.42280004,0.54583103
0.31505962,0.72700601
0.39423838,0.67225183
0.29412362,0.59696568
0.35677486,0.73999194
0.40252534,0.45512696
0.48403049,0.57003741
0.36730947,0.66323081
0.40749667,0.48657539
0.37869634,0.63113876
0.3389865,0.58955233
0.51283899,0.39828104
0.26148062,0.76740527
0.4184924,0.56486161
0.41160288,0.6298687
0.44172852,0.29240162
0.27201146,0.98766677
0.2947673,0.98223191
0.35751775,0.95831603
0.28836571,0.93756929
0.43843648,0.81078337
0.45521362,0.65239293
0.39465598,0.76802387
0.363289,0.91698906
0.34342472,0.7538266
0.38121207,0.77684736
0.32863073,0.56471019
0.40305786,0.77735727
0.40175395,0.51055252
0.38095586,0.47327945
0.31406398,0.74012945
0.31127394,0.69403246
0.49690984,0.56222725
0.52279039,0.54999773
0.42976514,0.7551942
0.35478178,0.6715317
0.41736383,0.71876859
0.61777578,0.30593028
0.49579452,0.52694464
0.54399501,0.34231406
0.29510916,0.82065076
0.5521085,0.29104591
0.29595306,0.71438059
0.3901018,0.78920269
0.41756772,0.56550117
0.30069604,0.56083594
