lambda,theta
0.34550174,0.62530207
0.38510564,0.5754017
0.31967976,0.54753426
0.30022057,0.60935662
0.28940593,0.74626913
0.40442448,0.58511764
0.34119058,0.53941239
0.38241339,0.41260179
0.45245888,0.62576444
0.32583555,0.62638254
0.36304041,0.47758753
0.32949555,0.65565191
0.27634945,0.59854706
0.40272896,0.91839907
0.32915133,0.86749702
0.37963577,0.4108241
0.37274215,0.56908169
0.32172711,0.60861484
0.31916839,0.74896602
0.24063509,0.73467729
0.33671144,0.46410104
0.38044644,0.40315842
0.41463989,0.47883786
0.31328903,0.43038246
0.39749564,0.49601649
0.37086814,0.63946407
0.32191018,0.35549479
0.23571874,0.81872758
0.2174067,0.80860536
0.39999479,0.35925077
0.4787035,0.80727225
0.27813994,0.91682546
0.2150431,0.77024708
0.27069604,0.7587723
0.40971867,0.51838172
0.26811015,0.56306996
0.30485535,0.60627665
0.3221346,0.74733829
0.29255647,0.40113456
0.29129381,0.7337662
0.35266011,0.6189918
0.38407199,0.45103056
0.51380169,0.46223928
0.26738652,0.53975061
0.36129504,0.75183997
0.31913529,0.64507554
0.32086857,0.74834141
0.3091891,0.7504364
0.33655045,0.39986813
0.35880337,0.95410063
0.36320261,0.54154021
0.38596159,0.83925373
0.34590927,0.51744183
0.28370253,0.8886328
0.23869262,0.79211078
0.49901154,0.30797326
0.54904302,0.45155922
0.27451573,0.66763992
0.45496095,0.89016731
0.33888822,0.413836
0.37808523,0.9909098
0.36324476,0.48475812
0.32862413,0.68608408
0.27684238,0.45496675
0.3859486,0.79373713
0.32502842,0.36946235
0.41171798,0.78160085
0.30904713,0.463796
0.34354784,0.7806822
0.36228113,0.7689585
0.37262411,0.53380567
0.36322632,0.60917041
0.3347106,0.44300698
0.47276874,0.44339219
0.39050812,0.39852352
0.33231791,0.83767922
0.3417883,0.72117026
0.39011399,0.55646779
0.30564475,0.86451898
0.31023553,0.75699571
0.30920914,0.84618907
0.37105391,0.41795789
0.31315613,0.60138167
0.38064056,0.48731896
0.26984754,0.72764203
0.33844192,0.88306923
0.32409528,0.87840636
0.42002697,0.9517177
0.27742105,0.64347491
0.34143976,0.53206063
0.27041038,0.71235755
0.36809078,0.44749556
0.321478,0.38801367
0.46349005,0.75015443
0.49890778,0.934574
0.48194098,0.93320654
0.37782722,0.73866969
0.35540407,0.58853031
0.27638116,0.79017248
0.43804628,0.48714145
0.22587516,0.68975293
0.45171065,0.50414086
0.43685641,0.41682397
0.45543083,0.54882181
0.39394537,0.73309355
0.35134868,0.67249291
0.35243724,0.59136563
0.32670559,0.64390001
0.34609388,0.53876737
0.34011904,0.63456399
0.34855052,0.73237618
0.32280755,0.50058719
0.40829466,0.57724003
0.25649316,0.8727584
0.23947574,0.66093044
0.24462297,0.62273493
0.28656442,0.82997821
0.28991673,0.84857361
0.29880303,0.59772622
0.28475667,0.76679199
0.27394452,0.57597446
0.33126998,0.54279907
0.39396324,0.57029481
0.26981623,0.71513102
0.39437908,0.49264133
0.32616357,0.46595556
0.3688293,0.64380998
0.27182036,0.58692527
0.43841496,0.60032164
0.27739166,0.59376976
0.41539208,0.6633036
0.26697891,0.47783308
0.32166611,0.89877353
0.3366065,0.7008651
0.34163136,0.70536775
0.26285725,0.57649855
0.45867476,0.34810909
0.4572554,0.3809963
0.29490691,0.68756346
0.37370333,0.6164345
0.29573085,0.85162804
0.39971229,0.71730897
0.37469324,0.51316415
0.2480238,0.70214558
0.39034451,0.63158103
0.24864489,0.67076288
0.46044086,0.6041883
0.29871153,0.87225407
0.30356853,0.87979357
0.30385578,0.88257963
0.33646275,0.46722524
0.3587643,0.64831496
0.43864556,0.4793559
0.28509542,0.93497202
0.40663385,0.4519456
0.26541174,0.78739444
0.3948009,0.54158168
0.29143391,0.65582853
0.42324872,0.67591718
0.27456854,0.87455806
0.25000957,0.7990262
