,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-98.8394,0.0621346,2.76649,2.64852,-103.85,-98.4983,-94.8982,1995.77,2743.43,32.6201,1.00117
c[1],2.87921,0.00667275,0.328793,0.325966,2.34062,2.87563,3.43336,2430.53,2437.65,39.7262,1.00056
c[2],1.46356,0.00514795,0.231782,0.232305,1.08761,1.45747,1.849,2051.86,2281.7,33.537,1.00133
"A[1,1,1]",0.487232,0.00129178,0.0679921,0.0657766,0.372984,0.486765,0.596262,2781.77,2650.02,45.4671,1.00088
"A[1,1,2]",-0.532899,0.00189496,0.102755,0.102351,-0.705695,-0.533201,-0.362369,3014.24,2792.75,49.2667,1.00061
"A[1,2,1]",-0.11968,0.000892884,0.0452692,0.044609,-0.193718,-0.119822,-0.0424867,2578.01,2673.04,42.1367,1.00027
"A[1,2,2]",0.29537,0.00138353,0.0721145,0.073545,0.178964,0.295143,0.410933,2779.75,2825.33,45.4341,1.00117
"A[2,1,1]",-0.0675151,0.00114729,0.0625351,0.0602954,-0.171295,-0.0676834,0.0380283,2989.05,2673.45,48.855,1.00133
"A[2,1,2]",-0.0402378,0.00167398,0.0894125,0.0895304,-0.186477,-0.0393994,0.108038,2951.48,2770.62,48.241,1.00185
"A[2,2,1]",-0.0517279,0.000748193,0.0403831,0.0401577,-0.118725,-0.0509165,0.0139506,2951.97,2966.62,48.2491,1.00005
"A[2,2,2]",0.00989931,0.00128285,0.0675901,0.0682977,-0.100696,0.00874654,0.122056,2810.07,2755.24,45.9297,1.00133
sigma[1],0.943351,0.000760744,0.0476576,0.0466567,0.869885,0.941617,1.02555,3968.79,3328.96,64.8686,1.00133
sigma[2],0.639753,0.000524676,0.032331,0.0329904,0.589817,0.638885,0.694633,3835.48,3171.3,62.6897,1.00291
"Rho[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"Rho[1,2]",0.21423,0.00114577,0.0671245,0.0650161,0.101033,0.215433,0.322272,3463.8,3083.85,56.6147,1.00111
"Rho[2,1]",0.21423,0.00114577,0.0671245,0.0650161,0.101033,0.215433,0.322272,3463.8,3083.85,56.6147,1.00111
"Rho[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
lambda,0.343494,0.0012065,0.0701813,0.0663828,0.242103,0.335279,0.47046,3519.11,2918.94,57.5187,1.00048
theta,0.654453,0.00261502,0.148763,0.164361,0.408494,0.652291,0.893962,3199.71,2567.03,52.2983,0.999656
