,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-104.599,0.0700861,2.7699,2.63376,-109.556,-104.311,-100.653,1627.85,2298.87,30.8223,1.00183
c[1],2.80978,0.00705849,0.330452,0.331042,2.25302,2.80874,3.34575,2223.0,2570.32,42.0911,1.00323
c[2],1.42219,0.00482364,0.222812,0.21864,1.04789,1.42439,1.78761,2151.05,2312.39,40.7288,1.0021
"A[1,1,1]",0.494964,0.00130894,0.067591,0.0672077,0.385109,0.495034,0.604771,2705.02,2325.35,51.2178,1.00066
"A[1,1,2]",-0.514843,0.00179525,0.100811,0.0994169,-0.682667,-0.514806,-0.34606,3178.11,2955.65,60.1755,1.00056
"A[1,2,1]",-0.116754,0.000850444,0.0438806,0.0438192,-0.18889,-0.116671,-0.0467279,2688.77,2291.79,50.9102,1.00013
"A[1,2,2]",0.313826,0.00127793,0.0695572,0.0706473,0.200055,0.314611,0.42674,2959.6,2341.45,56.0381,1.00196
"A[2,1,1]",-0.0639747,0.00104719,0.0598796,0.0599179,-0.160546,-0.0647996,0.0356663,3300.53,3329.11,62.4935,1.00001
"A[2,1,2]",-0.0374879,0.00150122,0.0878075,0.0872875,-0.180657,-0.0393147,0.1068,3460.6,2689.36,65.5243,1.00164
"A[2,2,1]",-0.048405,0.000706756,0.0381247,0.0369544,-0.112172,-0.0479164,0.0132432,2941.12,2777.13,55.6882,1.00339
"A[2,2,2]",0.00582956,0.00110155,0.063314,0.0627792,-0.100582,0.00581978,0.108938,3330.72,2857.74,63.0651,1.00043
sigma[1],0.945381,0.000687427,0.047665,0.0478533,0.869036,0.943105,1.02569,4850.48,2871.89,91.8408,1.00171
sigma[2],0.639373,0.000493446,0.0331714,0.0317516,0.587314,0.638154,0.695766,4856.88,2725.6,91.9621,1.00077
"Rho[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"Rho[1,2]",0.220065,0.000982955,0.0666274,0.0654233,0.108571,0.220015,0.328145,4626.0,2848.38,87.5903,1.00134
"Rho[2,1]",0.220065,0.000982955,0.0666274,0.0654233,0.108571,0.220015,0.328145,4626.0,2848.38,87.5903,1.00134
"Rho[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
lambda,0.276068,0.000757329,0.0472942,0.0454213,0.20845,0.270609,0.364887,3949.16,3132.2,74.7749,1.00067
theta,0.705715,0.00223846,0.136654,0.151047,0.474908,0.711252,0.919744,3679.98,2282.35,69.6781,1.00075
