lambda,theta
0.20505121,0.77673767
0.35148875,0.57553094
0.29834383,0.61476544
0.21277045,0.63610755
0.2355656,0.91196018
0.23448519,0.61772791
0.27830018,0.66486594
0.26682278,0.74180527
0.26652539,0.56742801
0.22816548,0.66866778
0.31526619,0.45664929
0.41775503,0.44559768
0.23041233,0.66440464
0.38833232,0.92181186
0.26600235,0.45930456
0.35749013,0.85648932
0.21438952,0.65398988
0.27138637,0.60019756
0.27170095,0.61323148
0.29522078,0.64898594
0.30124715,0.51659229
0.31187545,0.49750343
0.26028553,0.87632845
0.33317336,0.69097024
0.36578168,0.59132366
0.3273754,0.58273742
0.27087242,0.70480703
0.38811737,0.75722842
0.22849628,0.61206601
0.42010521,0.72143417
0.23910242,0.67178451
0.37074279,0.67217083
0.20613337,0.71912414
0.26551656,0.82199365
0.24609747,0.59312327
0.25467187,0.58176712
0.25756184,0.57444008
0.29261667,0.92463919
0.20902948,0.93126997
0.35027913,0.72378524
0.30490658,0.6555228
0.30401108,0.63653445
0.22447471,0.74998747
0.23439338,0.55840036
0.29088343,0.82137037
0.25301954,0.55505654
0.26069115,0.75781272
0.25296569,0.73465862
0.42052922,0.54046195
0.21424057,0.88882493
0.24495355,0.8918583
0.20638901,0.82092945
0.30237883,0.60213707
0.34640065,0.86738752
0.39229116,0.82413982
0.21522287,0.80799243
0.18328811,0.91083145
0.25182099,0.78032825
0.25355167,0.55923445
0.30032427,0.58510526
0.2880889,0.83482383
0.25327137,0.77225674
0.36720489,0.71425562
0.2721612,0.9089628
0.2140345,0.95022238
0.23597015,0.92661823
0.29488213,0.48057389
0.30100609,0.60901719
0.3099598,0.78756237
0.24643388,0.64973621
0.2638066,0.82371166
0.18462832,0.83836234
0.22810782,0.73533853
0.2871398,0.78032114
0.3810603,0.49263309
0.27894187,0.62426924
0.27179363,0.66830907
0.24756607,0.73385193
0.29737826,0.56809242
0.29775141,0.77538629
0.23084946,0.49529764
0.30467719,0.65128193
0.26639254,0.94873142
0.26979037,0.95890585
0.21220735,0.96548414
